id;jhi_user;active;create_by_id;created_date;last_modified_by_id;last_modified_date
1;28361;true;70901;2022-01-16T16:11:24;26495;2022-01-16T08:57:59
2;3177;false;32880;2022-01-16T17:45:54;47242;2022-01-17T02:08:41
3;74408;false;32643;2022-01-16T16:44:42;4459;2022-01-16T22:25:19
4;41959;true;99013;2022-01-17T00:11:39;10511;2022-01-16T15:46:52
5;47702;false;40405;2022-01-16T21:25:23;63648;2022-01-16T04:47:07
6;84927;false;55224;2022-01-16T18:56:47;34825;2022-01-16T14:10:05
7;42531;false;62438;2022-01-16T13:22:08;7377;2022-01-16T21:13:36
8;25053;true;72617;2022-01-16T19:05:44;21334;2022-01-16T13:54:00
9;48918;false;64042;2022-01-16T07:37:37;50555;2022-01-16T15:24:08
10;19788;false;49630;2022-01-16T16:15:11;35147;2022-01-16T11:25:35
